Classification,Year,Month,Province,City,Total AUOM Masked
Marine Paints,2023,11,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 38,685 "
Marine Paints,2022,4,CEBU,CONSOLACION," 38,610 "
Marine Paints,2022,9,QUEZON,PAGBILAO," 38,490 "
Marine Paints,2022,5,ZAMBALES,MASINLOC," 37,980 "
Marine Paints,2022,5,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 37,920 "
Marine Paints,2023,2,CEBU,CEBU CITY (Capital)," 37,770 "
Marine Paints,2023,7,CAVITE,CITY OF GENERAL TRIAS," 37,620 "
Marine Paints,2022,7,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 37,500 "
Marine Paints,2022,2,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA," 37,170 "
Marine Paints,2022,1,BULACAN,SANTA MARIA," 37,080 "
Marine Paints,2023,5,MISAMIS ORIENTAL,JASAAN," 37,035 "
Marine Paints,2023,11,CAVITE,CITY OF GENERAL TRIAS," 36,870 "
Marine Paints,2022,2,CAVITE,TANZA," 36,690 "
Marine Paints,2023,6,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 36,630 "
Marine Paints,2022,11,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 36,600 "
Marine Paints,2022,7,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 36,480 "
Marine Paints,2023,7,ILOILO,ILOILO CITY," 35,970 "
Marine Paints,2023,5,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 35,550 "
Marine Paints,2023,5,CEBU,DANAO CITY," 35,460 "
Marine Paints,2022,9,CAVITE,CITY OF GENERAL TRIAS," 35,280 "
Marine Paints,2022,5,MISAMIS ORIENTAL,JASAAN," 35,250 "
Marine Paints,2023,12,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 35,025 "
Marine Paints,2022,3,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 34,920 "
Marine Paints,2022,8,CEBU,CONSOLACION," 34,785 "
Marine Paints,2022,6,CEBU,SAN FERNANDO," 34,620 "
Marine Paints,2022,5,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",SANTA ANA," 34,380 "
Marine Paints,2023,5,CAVITE,CITY OF GENERAL TRIAS," 34,380 "
Marine Paints,2023,2,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG," 34,320 "
Marine Paints,2023,11,CEBU,SAN FERNANDO," 34,320 "
Marine Paints,2022,10,BULACAN,CITY OF MEYCAUAYAN," 34,200 "
Marine Paints,2023,2,ZAMBALES,SUBIC," 34,080 "
Marine Paints,2022,3,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 34,020 "
Marine Paints,2022,2,QUEZON,LUCENA CITY (Capital)," 33,900 "
Marine Paints,2023,6,BATANGAS,CALACA," 33,840 "
Marine Paints,2022,4,PANGASINAN,SUAL," 33,795 "
Marine Paints,2022,11,CAVITE,CITY OF GENERAL TRIAS," 33,720 "
Marine Paints,2023,12,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 33,630 "
Marine Paints,2022,10,CEBU,MANDAUE CITY," 33,600 "
Marine Paints,2023,12,ILOILO,ILOILO CITY," 33,600 "
Marine Paints,2022,12,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 33,570 "
Marine Paints,2023,5,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 33,540 "
Marine Paints,2022,9,ILOILO,ILOILO CITY," 33,465 "
Marine Paints,2023,10,QUEZON,LUCENA CITY (Capital)," 33,375 "
Marine Paints,2023,10,CEBU,SAN FERNANDO," 33,240 "
Marine Paints,2022,6,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 33,060 "
Marine Paints,2023,11,MISAMIS ORIENTAL,JASAAN," 32,925 "
Marine Paints,2022,12,RIZAL,BINANGONAN," 32,700 "
Marine Paints,2022,7,CEBU,DANAO CITY," 32,415 "
Marine Paints,2023,3,CAVITE,CITY OF GENERAL TRIAS," 32,400 "
Marine Paints,2023,12,BOHOL,BUENAVISTA," 32,220 "
Marine Paints,2023,5,ILOILO,ILOILO CITY," 32,160 "
Marine Paints,2022,4,BATANGAS,BAUAN," 32,100 "
Marine Paints,2023,9,ILOILO,ILOILO CITY," 31,980 "
Marine Paints,2023,4,MISAMIS ORIENTAL,JASAAN," 31,680 "
Marine Paints,2023,11,BOHOL,BUENAVISTA," 31,620 "
Marine Paints,2023,2,CAVITE,CITY OF DASMARIÑAS," 31,500 "
Marine Paints,2022,2,CAVITE,CITY OF GENERAL TRIAS," 31,440 "
Marine Paints,2022,12,CAVITE,CITY OF GENERAL TRIAS," 31,440 "
Marine Paints,2022,11,BATANGAS,CALACA," 31,200 "
Marine Paints,2023,12,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 30,870 "
Marine Paints,2023,6,CEBU,DANAO CITY," 30,510 "
Marine Paints,2022,11,MISAMIS ORIENTAL,JASAAN," 30,375 "
Marine Paints,2023,2,CEBU,CEBU CITY," 30,360 "
Marine Paints,2022,4,ILOILO,ILOILO CITY," 30,300 "
Marine Paints,2022,3,CAVITE,CITY OF GENERAL TRIAS," 30,240 "
Marine Paints,2023,4,BATANGAS,BATANGAS CITY (Capital)," 30,240 "
Marine Paints,2023,7,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 30,240 "
Marine Paints,2023,11,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 30,240 "
Marine Paints,2022,3,CEBU,DANAO CITY," 30,180 "
Marine Paints,2023,6,QUEZON,PAGBILAO," 30,180 "
Marine Paints,2022,10,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 30,120 "
Marine Paints,2022,12,BATAAN,MARIVELES," 30,120 "
Marine Paints,2022,9,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 29,955 "
Marine Paints,2022,9,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 29,940 "
Marine Paints,2022,6,BATAAN,MARIVELES," 29,760 "
Marine Paints,2023,3,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 29,580 "
Marine Paints,2023,12,CEBU,CARMEN," 29,580 "
Marine Paints,2022,1,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 29,325 "
Marine Paints,2022,9,PANGASINAN,SUAL," 29,175 "
Marine Paints,2023,11,CAVITE,CITY OF DASMARIÑAS," 29,160 "
Marine Paints,2022,3,QUEZON,LUCENA CITY (Capital)," 29,070 "
Marine Paints,2022,2,ALBAY,ALBAY," 28,860 "
Marine Paints,2023,10,ILOILO,ILOILO CITY," 28,815 "
Marine Paints,2022,2,ILOILO,ILOILO CITY," 28,785 "
Marine Paints,2023,10,BATANGAS,CALACA," 28,680 "
Marine Paints,2022,3,CEBU,MANDAUE CITY," 28,620 "
Marine Paints,2023,7,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 28,500 "
Marine Paints,2023,7,BATAAN,MARIVELES," 28,440 "
Marine Paints,2022,7,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 28,380 "
Marine Paints,2022,8,CAMARINES SUR,ALBAY," 28,140 "
Marine Paints,2023,3,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 27,990 "
Marine Paints,2022,7,MISAMIS ORIENTAL,JASAAN," 27,915 "
Marine Paints,2022,1,MISAMIS ORIENTAL,VILLANUEVA," 27,855 "
Marine Paints,2022,6,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 27,720 "
Marine Paints,2022,8,RIZAL,BINANGONAN," 27,720 "
Marine Paints,2022,7,CEBU,CONSOLACION," 27,690 "
Marine Paints,2022,2,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 27,630 "
Marine Paints,2023,2,BULACAN,CITY OF MEYCAUAYAN," 27,600 "
Marine Paints,2022,7,BATANGAS,BATANGAS CITY (Capital)," 27,540 "
Marine Paints,2023,10,RIZAL,BINANGONAN," 27,540 "
Marine Paints,2022,10,BATAAN,MARIVELES," 27,465 "
Marine Paints,2022,5,QUEZON,PAGBILAO," 27,300 "
Marine Paints,2022,1,BATAAN,MARIVELES," 27,180 "
Marine Paints,2022,4,ZAMBALES,SUBIC," 27,120 "
Marine Paints,2023,3,BATANGAS,CALACA," 27,060 "
Marine Paints,2023,3,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 27,000 "
Marine Paints,2022,7,LAGUNA,CITY OF SANTA ROSA," 27,000 "
Marine Paints,2023,2,CAVITE,CITY OF GENERAL TRIAS," 26,760 "
Marine Paints,2022,5,ILOILO,ILOILO CITY," 26,730 "
Marine Paints,2023,9,RIZAL,BINANGONAN," 26,640 "
Marine Paints,2022,8,CEBU,MANDAUE CITY," 26,565 "
Marine Paints,2022,8,BATAAN,MARIVELES," 26,520 "
Marine Paints,2022,5,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 26,490 "
Marine Paints,2023,7,BATANGAS,BAUAN," 26,250 "
Marine Paints,2022,12,CEBU,SAN FERNANDO," 26,220 "
Marine Paints,2022,1,CEBU,CEBU CITY (Capital)," 25,860 "
Marine Paints,2023,2,ILOILO,ILOILO CITY," 25,770 "
Marine Paints,2023,6,CEBU,CEBU CITY," 25,680 "
Marine Paints,2023,2,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 25,440 "
Marine Paints,2023,5,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 25,440 "
Marine Paints,2023,9,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 25,440 "
Marine Paints,2023,10,RIZAL,CAINTA," 25,320 "
Marine Paints,2022,5,BATANGAS,BATANGAS CITY (Capital)," 25,260 "
Marine Paints,2022,4,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 24,960 "
Marine Paints,2022,4,LAGUNA,SAN PABLO CITY," 24,900 "
Marine Paints,2022,9,BATANGAS,CALACA," 24,900 "
Marine Paints,2022,6,PANGASINAN,SUAL," 24,600 "
Marine Paints,2023,2,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 24,480 "
Marine Paints,2022,8,CEBU,SAN FERNANDO," 24,390 "
Marine Paints,2022,11,CEBU,SAN FERNANDO," 24,360 "
Marine Paints,2022,5,LAGUNA,SAN PABLO CITY," 24,300 "
Marine Paints,2022,6,LAGUNA,SAN PABLO CITY," 24,300 "
Marine Paints,2023,9,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 24,300 "
Marine Paints,2023,8,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 24,180 "
Marine Paints,2023,11,ZAMBALES,SUBIC," 24,120 "
Marine Paints,2023,4,CEBU,CEBU CITY," 24,060 "
Marine Paints,2022,3,QUEZON,PAGBILAO," 24,000 "
Marine Paints,2023,9,ALBAY,ALBAY," 24,000 "
Marine Paints,2022,11,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 24,000 "
Marine Paints,2022,11,ILOILO,ILOILO CITY," 23,925 "
Marine Paints,2023,3,BATANGAS,LEMERY," 23,820 "
Marine Paints,2023,7,BATANGAS,CALACA," 23,820 "
Marine Paints,2023,5,CEBU,CEBU CITY," 23,760 "
Marine Paints,2022,8,QUEZON,LUCENA CITY," 23,670 "
Marine Paints,2023,6,CEBU,MANDAUE CITY," 23,580 "
Marine Paints,2022,11,CEBU,CEBU CITY (Capital)," 23,550 "
Marine Paints,2023,12,CEBU,CONSOLACION," 23,400 "
Marine Paints,2023,3,RIZAL,BINANGONAN," 23,355 "
Marine Paints,2023,4,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 23,100 "
Marine Paints,2022,6,ILOILO,ILOILO CITY," 23,010 "
Marine Paints,2023,11,ILOILO,ILOILO CITY," 22,995 "
Marine Paints,2022,7,RIZAL,CAINTA," 22,920 "
Marine Paints,2022,6,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 22,770 "
Marine Paints,2022,5,CEBU,SAN FERNANDO," 22,635 "
Marine Paints,2022,3,BATAAN,MARIVELES," 22,440 "
Marine Paints,2022,7,CEBU,MANDAUE CITY," 22,395 "
Marine Paints,2023,7,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 22,380 "
Marine Paints,2023,8,CEBU,SAN FERNANDO," 22,380 "
Marine Paints,2022,9,CEBU,MANDAUE CITY," 22,380 "
Marine Paints,2022,4,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 21,960 "
Marine Paints,2023,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA," 21,780 "
Marine Paints,2023,8,CAVITE,CITY OF GENERAL TRIAS," 21,780 "
Marine Paints,2022,12,CEBU,DANAO CITY," 21,765 "
Marine Paints,2023,10,ZAMBALES,SUBIC," 21,720 "
Marine Paints,2023,2,BATANGAS,CALACA," 21,630 "
Marine Paints,2023,7,CEBU,CEBU CITY," 21,465 "
Marine Paints,2023,6,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 21,375 "
Marine Paints,2023,8,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 21,360 "
Marine Paints,2023,11,CEBU,DANAO CITY," 21,240 "
Marine Paints,2022,2,CAVITE,NAIC," 21,060 "
Marine Paints,2022,9,CEBU,CITY OF BOGO," 21,060 "
Marine Paints,2022,10,ILOILO,ILOILO CITY," 21,030 "
Marine Paints,2023,9,BULACAN,SAN ILDEFONSO," 21,000 "
Marine Paints,2023,6,CAVITE,TANZA," 20,850 "
Marine Paints,2022,7,RIZAL,BINANGONAN," 20,760 "
Marine Paints,2022,8,BATANGAS,CITY OF TANAUAN," 20,760 "
Marine Paints,2022,9,CAMARINES SUR,ALBAY," 20,760 "
Marine Paints,2023,8,BATAAN,MARIVELES," 20,700 "
Marine Paints,2022,12,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 20,610 "
Marine Paints,2022,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 20,520 "
Marine Paints,2023,7,ALBAY,ALBAY," 20,520 "
Marine Paints,2023,11,BATAAN,MARIVELES," 20,400 "
Marine Paints,2022,12,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 20,340 "
Marine Paints,2022,11,RIZAL,BINANGONAN," 20,160 "
Marine Paints,2023,2,CEBU,SAN FERNANDO," 19,830 "
Marine Paints,2022,5,BATANGAS,CALACA," 19,800 "
Marine Paints,2023,7,CEBU,CONSOLACION," 19,665 "
Marine Paints,2022,5,CEBU,DANAO CITY," 19,410 "
Marine Paints,2022,6,LAGUNA,CITY OF SANTA ROSA," 19,320 "
Marine Paints,2023,8,BATAAN,ORION," 19,260 "
Marine Paints,2022,9,LAGUNA,CITY OF SANTA ROSA," 19,140 "
Marine Paints,2023,11,CAVITE,SILANG," 18,960 "
Marine Paints,2023,12,CAVITE,TANZA," 18,840 "
Marine Paints,2022,5,BATANGAS,BAUAN," 18,780 "
Marine Paints,2022,10,CAVITE,CITY OF GENERAL TRIAS," 18,780 "
Marine Paints,2023,5,ALBAY,ALBAY," 18,660 "
Marine Paints,2023,11,CAVITE,ROSARIO," 18,660 "
Marine Paints,2023,10,CEBU,CITY OF BOGO," 18,600 "
Marine Paints,2022,9,MISAMIS ORIENTAL,JASAAN," 18,540 "
Marine Paints,2022,3,CAVITE,NAIC," 18,360 "
Marine Paints,2022,11,LAGUNA,CITY OF SANTA ROSA," 18,360 "
Marine Paints,2022,8,ILOILO,ILOILO CITY," 18,270 "
Marine Paints,2022,10,BATANGAS,CALACA," 18,150 "
Marine Paints,2023,12,CEBU,MANDAUE CITY," 18,060 "
Marine Paints,2023,11,CEBU,CONSOLACION," 18,000 "
Marine Paints,2022,10,CEBU,LAPU-LAPU CITY (OPON)," 17,940 "
Marine Paints,2022,11,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 17,940 "
Marine Paints,2023,12,CAVITE,CITY OF GENERAL TRIAS," 17,760 "
Marine Paints,2023,12,CEBU,SAN FERNANDO," 17,550 "
Marine Paints,2022,4,RIZAL,CAINTA," 17,520 "
Marine Paints,2023,6,QUEZON,MAUBAN," 17,460 "
Marine Paints,2022,1,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",MALATE," 17,340 "
Marine Paints,2023,5,BATANGAS,BAUAN," 17,340 "
Marine Paints,2022,12,BATANGAS,BAUAN," 17,325 "
Marine Paints,2023,3,MISAMIS ORIENTAL,JASAAN," 17,175 "
Marine Paints,2022,2,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 17,100 "
Marine Paints,2022,7,BATAAN,MARIVELES," 17,040 "
Marine Paints,2022,8,LAGUNA,SAN PABLO CITY," 16,950 "
Marine Paints,2023,10,CAVITE,CITY OF GENERAL TRIAS," 16,920 "
Marine Paints,2023,4,CAVITE,CITY OF GENERAL TRIAS," 16,800 "
Marine Paints,2023,10,BATAAN,MARIVELES," 16,455 "
Marine Paints,2022,5,CEBU,MINGLANILLA," 16,380 "
Marine Paints,2022,4,MISAMIS ORIENTAL,JASAAN," 16,365 "
Marine Paints,2023,12,BATANGAS,BAUAN," 16,200 "
Marine Paints,2023,5,CAVITE,BACOOR CITY," 15,960 "
Marine Paints,2022,4,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 15,840 "
Marine Paints,2022,4,CAVITE,CITY OF GENERAL TRIAS," 15,720 "
Marine Paints,2022,8,CAVITE,CITY OF GENERAL TRIAS," 15,720 "
Marine Paints,2023,7,BULACAN,SAN ILDEFONSO," 15,600 "
Marine Paints,2022,8,PANGASINAN,SUAL," 15,555 "
Marine Paints,2023,6,ILOILO,ILOILO CITY," 15,435 "
Marine Paints,2023,2,CEBU,DANAO CITY," 15,420 "
Marine Paints,2022,8,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 15,315 "
Marine Paints,2023,7,BATANGAS,BATANGAS CITY (Capital)," 15,300 "
Marine Paints,2022,12,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 15,045 "
Marine Paints,2023,2,QUEZON,SARIAYA," 15,000 "
Marine Paints,2023,9,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 15,000 "
Marine Paints,2022,10,ALBAY,ALBAY," 14,880 "
Marine Paints,2023,8,CAVITE,ROSARIO," 14,820 "
Marine Paints,2022,11,BATANGAS,BAUAN," 14,700 "
Marine Paints,2022,8,BATAAN,ORION," 14,580 "
Marine Paints,2023,11,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 14,580 "
Marine Paints,2022,1,CAVITE,TANZA," 14,550 "
Marine Paints,2023,10,CEBU,DANAO CITY," 14,460 "
Marine Paints,2022,7,CEBU,CITY OF BOGO," 14,370 "
Marine Paints,2022,7,BATANGAS,CITY OF TANAUAN," 14,340 "
Marine Paints,2023,4,SOUTH COTABATO,GENEAL SANTOS CITY," 14,160 "
Marine Paints,2022,7,BATANGAS,TALISAY," 14,160 "
Marine Paints,2022,7,CAVITE,NAIC," 14,100 "
Marine Paints,2022,11,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 13,950 "
Marine Paints,2022,3,BOHOL,LILA," 13,920 "
Marine Paints,2023,8,BATANGAS,CALACA," 13,920 "
Marine Paints,2022,9,CEBU,SAN FERNANDO," 13,875 "
Marine Paints,2022,12,CEBU,CEBU," 13,860 "
Marine Paints,2023,12,BATAAN,PILAR," 13,800 "
Marine Paints,2023,3,CAVITE,ROSARIO," 13,740 "
Marine Paints,2023,8,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 13,680 "
Marine Paints,2022,1,CAVITE,KAWIT," 13,545 "
Marine Paints,2022,2,BATANGAS,BATANGAS CITY (Capital)," 13,440 "
Marine Paints,2023,10,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 13,380 "
Marine Paints,2022,9,CAVITE,TANZA," 13,365 "
Marine Paints,2022,8,CEBU,DANAO CITY," 13,320 "
Marine Paints,2023,9,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO," 13,320 "
Marine Paints,2023,12,BULACAN,SAN ILDEFONSO," 13,200 "
Marine Paints,2023,2,ALBAY,ALBAY," 13,140 "
Marine Paints,2022,1,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 13,110 "
Marine Paints,2023,8,CEBU,DANAO CITY," 13,080 "
Marine Paints,2022,9,CEBU,DAANBANTAYAN," 13,020 "
Marine Paints,2023,9,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA," 13,020 "
Marine Paints,2023,11,LAGUNA,CITY OF SANTA ROSA," 12,960 "
Marine Paints,2022,2,LAGUNA,CITY OF SANTA ROSA," 12,720 "
Marine Paints,2023,4,CEBU,DANAO CITY," 12,690 "
Marine Paints,2022,2,CAVITE,ROSARIO," 12,540 "
Marine Paints,2022,6,BATANGAS,SANTO TOMAS," 12,540 "
Marine Paints,2022,11,MISAMIS ORIENTAL,VILLANUEVA," 12,540 "
Marine Paints,2022,2,CEBU,MANDAUE CITY," 12,420 "
Marine Paints,2022,3,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 12,420 "
Marine Paints,2022,8,BATANGAS,LIPA CITY," 12,300 "
Marine Paints,2023,3,CAVITE,NAIC," 12,240 "
Marine Paints,2023,10,ALBAY,ALBAY," 12,240 "
Marine Paints,2022,12,MISAMIS ORIENTAL,VILLANUEVA," 12,150 "
Marine Paints,2023,5,CEBU,SAN FERNANDO," 12,120 "
Marine Paints,2022,1,CAVITE,CITY OF GENERAL TRIAS," 12,060 "
Marine Paints,2022,11,CEBU,MANDAUE CITY," 12,060 "
Marine Paints,2022,7,BATANGAS,CALACA," 12,000 "
Marine Paints,2022,3,MISAMIS ORIENTAL,GITAGUM," 11,985 "
Marine Paints,2023,12,CEBU,DANAO CITY," 11,880 "
Marine Paints,2022,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",MALATE," 11,820 "
Marine Paints,2023,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 11,760 "
Marine Paints,2022,6,CAVITE,TANZA," 11,670 "
Marine Paints,2022,12,CEBU,CITY OF BOGO," 11,610 "
Marine Paints,2022,2,MISAMIS ORIENTAL,VILLANUEVA," 11,520 "
Marine Paints,2022,9,CEBU,CEBU CITY," 11,520 "
Marine Paints,2022,6,BATANGAS,CITY OF TANAUAN," 11,475 "
Marine Paints,2022,11,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 11,370 "
Marine Paints,2023,5,BATANGAS,SANTO TOMAS," 11,340 "
Marine Paints,2022,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA," 11,190 "
Marine Paints,2023,9,CAVITE,CITY OF GENERAL TRIAS," 11,160 "
Marine Paints,2022,8,LAGUNA,CITY OF SANTA ROSA," 11,100 "
Marine Paints,2022,9,BATANGAS,CITY OF TANAUAN," 10,920 "
Marine Paints,2022,5,CAVITE,TANZA," 10,890 "
Marine Paints,2023,10,CAVITE,CAVITE CITY," 10,875 "
Marine Paints,2023,5,BATAAN,ORION," 10,800 "
Marine Paints,2023,12,BATANGAS,MABINI," 10,635 "
Marine Paints,2022,11,PAMPANGA,MABALACAT CITY," 10,620 "
Marine Paints,2023,2,RIZAL,BINANGONAN," 10,560 "
Marine Paints,2023,9,CEBU,CONSOLACION," 10,530 "
Marine Paints,2023,5,PAMPANGA,APALIT," 10,500 "
Marine Paints,2023,11,BATANGAS,SANTO TOMAS," 10,500 "
Marine Paints,2022,2,CEBU,CEBU CITY (Capital)," 10,455 "
Marine Paints,2022,1,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE," 10,440 "
Marine Paints,2022,10,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 10,440 "
Marine Paints,2022,7,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE," 10,380 "
Marine Paints,2022,4,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 10,320 "
Marine Paints,2022,9,CAVITE,NAIC," 10,320 "
Marine Paints,2022,5,PANGASINAN,SUAL," 10,290 "
Marine Paints,2022,2,CAVITE,CARMONA," 10,260 "
Marine Paints,2022,9,CAVITE,ROSARIO," 10,140 "
Marine Paints,2023,4,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 10,080 "
Marine Paints,2023,9,BATANGAS,SANTO TOMAS," 10,080 "
Marine Paints,2022,10,CAVITE,TANZA," 9,915 "
Marine Paints,2023,4,"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY," 9,855 "
Marine Paints,2022,8,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG," 9,600 "
Marine Paints,2022,12,CAVITE,TANZA," 9,600 "
Marine Paints,2023,8,CEBU,LAPU-LAPU CITY (OPON)," 9,540 "
Marine Paints,2022,8,MISAMIS ORIENTAL,VILLANUEVA," 9,510 "
Marine Paints,2022,7,ILOILO,ILOILO CITY," 9,450 "
Marine Paints,2022,5,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 9,435 "
Marine Paints,2023,7,CAVITE,TANZA," 9,330 "
Marine Paints,2022,2,RIZAL,BINANGONAN," 9,285 "
Marine Paints,2023,12,PANGASINAN,SUAL," 9,150 "
Marine Paints,2022,12,BATANGAS,CALACA," 9,000 "
Marine Paints,2022,4,MISAMIS ORIENTAL,VILLANUEVA," 8,970 "
Marine Paints,2023,5,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 8,940 "
Marine Paints,2023,4,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 8,910 "
Marine Paints,2022,4,QUEZON,PAGBILAO," 8,880 "
Marine Paints,2023,6,LAGUNA,CITY OF SANTA ROSA," 8,880 "
Marine Paints,2023,2,BATANGAS,BATANGAS CITY (Capital)," 8,760 "
Marine Paints,2023,12,LAGUNA,CITY OF SANTA ROSA," 8,760 "
Marine Paints,2022,3,RIZAL,CAINTA," 8,700 "
Marine Paints,2022,1,CEBU,CONSOLACION," 8,640 "
Marine Paints,2023,5,BULACAN,CITY OF MEYCAUAYAN," 8,640 "
Marine Paints,2022,6,CEBU,CITY OF BOGO," 8,640 "
Marine Paints,2022,8,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE," 8,640 "
Marine Paints,2022,8,CAVITE,TANZA," 8,610 "
Marine Paints,2023,5,CAVITE,CITY OF DASMARIÑAS," 8,580 "
Marine Paints,2022,9,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 8,580 "
Marine Paints,2023,9,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 8,520 "
Marine Paints,2022,2,BATANGAS,SANTO TOMAS," 8,490 "
Marine Paints,2023,3,BULACAN,GUIGUINTO," 8,400 "
Marine Paints,2022,10,CAVITE,ROSARIO," 8,400 "
Marine Paints,2022,3,MISAMIS ORIENTAL,VILLANUEVA," 8,385 "
