Classification,Year,Month,Province,City,Total AUOM Masked
Marine Paints,2022,11,QUEZON,LUCENA CITY (Capital)," 131,535 "
Marine Paints,2023,12,SOUTH COTABATO,GENERAL SANTOS CITY," 130,965 "
Marine Paints,2023,6,BATANGAS,BAUAN," 129,240 "
Marine Paints,2023,6,RIZAL,BINANGONAN," 129,240 "
Marine Paints,2022,4,SOUTH COTABATO,GENERAL SANTOS CITY," 128,445 "
Marine Paints,2023,5,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 126,735 "
Marine Paints,2022,6,MISAMIS ORIENTAL,JASAAN," 121,365 "
Marine Paints,2022,8,ZAMBALES,SUBIC," 120,000 "
Marine Paints,2022,12,CEBU,MANDAUE CITY," 119,445 "
Marine Paints,2023,3,BATAAN,MARIVELES," 117,465 "
Marine Paints,2023,5,QUEZON,PAGBILAO," 117,000 "
Marine Paints,2022,5,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 115,725 "
Marine Paints,2022,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 115,605 "
Marine Paints,2022,10,CEBU,CEBU CITY (Capital)," 114,360 "
Marine Paints,2023,2,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 114,015 "
Marine Paints,2022,1,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 112,980 "
Marine Paints,2022,6,BATANGAS,BATANGAS CITY (Capital)," 112,605 "
Marine Paints,2022,8,CEBU,CEBU CITY (Capital)," 109,680 "
Marine Paints,2022,9,CEBU,CEBU CITY (Capital)," 109,305 "
Marine Paints,2023,6,ZAMBALES,SUBIC," 109,200 "
Marine Paints,2023,7,SOUTH COTABATO,GENERAL SANTOS CITY," 109,035 "
Marine Paints,2022,5,SOUTH COTABATO,GENERAL SANTOS CITY," 108,510 "
Marine Paints,2022,10,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 108,435 "
Marine Paints,2022,7,ZAMBALES,SUBIC," 108,120 "
Marine Paints,2023,9,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 107,040 "
Marine Paints,2023,9,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 106,530 "
Marine Paints,2022,10,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 106,170 "
Marine Paints,2022,1,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 105,990 "
Marine Paints,2023,6,SOUTH COTABATO,GENERAL SANTOS CITY," 103,425 "
Marine Paints,2023,12,BATAAN,MARIVELES," 103,320 "
Marine Paints,2023,6,CEBU,CEBU CITY (Capital)," 103,020 "
Marine Paints,2022,10,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 102,225 "
Marine Paints,2023,7,RIZAL,BINANGONAN," 102,150 "
Marine Paints,2022,2,SOUTH COTABATO,GENERAL SANTOS CITY," 99,720 "
Marine Paints,2022,12,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 99,690 "
Marine Paints,2023,7,CAVITE,NAIC," 99,135 "
Marine Paints,2023,9,SOUTH COTABATO,GENERAL SANTOS CITY," 99,075 "
Marine Paints,2023,4,SOUTH COTABATO,GENERAL SANTOS CITY," 98,550 "
Marine Paints,2022,5,QUEZON,LUCENA CITY (Capital)," 98,340 "
Marine Paints,2022,1,QUEZON,LUCENA CITY (Capital)," 97,710 "
Marine Paints,2022,9,SOUTH COTABATO,GENERAL SANTOS CITY," 97,350 "
Marine Paints,2022,3,CEBU,MINGLANILLA," 96,120 "
Marine Paints,2022,3,SOUTH COTABATO,GENERAL SANTOS CITY," 95,535 "
Marine Paints,2022,12,SOUTH COTABATO,GENERAL SANTOS CITY," 95,460 "
Marine Paints,2022,3,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 95,055 "
Marine Paints,2023,10,BOHOL,BUENAVISTA," 94,860 "
Marine Paints,2022,8,BATANGAS,BATANGAS CITY (Capital)," 94,740 "
Marine Paints,2022,6,ZAMBALES,SUBIC," 94,320 "
Marine Paints,2023,8,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 93,750 "
Marine Paints,2023,3,CEBU,CEBU CITY (Capital)," 92,805 "
Marine Paints,2022,6,SOUTH COTABATO,GENERAL SANTOS CITY," 92,685 "
Marine Paints,2022,9,ZAMBALES,SUBIC," 92,280 "
Marine Paints,2023,9,CEBU,MANDAUE CITY," 91,875 "
Marine Paints,2023,12,ZAMBALES,SUBIC," 91,665 "
Marine Paints,2022,10,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 91,590 "
Marine Paints,2023,2,QUEZON,LUCENA CITY," 91,500 "
Marine Paints,2022,7,CEBU,CEBU CITY (Capital)," 90,615 "
Marine Paints,2022,9,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 90,600 "
Marine Paints,2023,10,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 90,510 "
Marine Paints,2022,2,BATANGAS,BAUAN," 89,820 "
Marine Paints,2023,9,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 88,800 "
Marine Paints,2023,2,BATAAN,MARIVELES," 88,425 "
Marine Paints,2022,1,ZAMBALES,SUBIC," 88,200 "
Marine Paints,2022,6,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 88,140 "
Marine Paints,2022,11,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 88,005 "
Marine Paints,2022,2,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 87,795 "
Marine Paints,2022,8,MISAMIS ORIENTAL,JASAAN," 87,570 "
Marine Paints,2023,4,CEBU,CEBU CITY (Capital)," 87,240 "
Marine Paints,2023,5,BATAAN,MARIVELES," 87,150 "
Marine Paints,2023,5,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 87,120 "
Marine Paints,2022,12,BULACAN,CITY OF MEYCAUAYAN," 86,880 "
Marine Paints,2023,10,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 85,320 "
Marine Paints,2022,1,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 85,125 "
Marine Paints,2022,5,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 84,375 "
Marine Paints,2023,3,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 83,910 "
Marine Paints,2023,3,CAMARINES SUR,NAGA CITY," 83,610 "
Marine Paints,2023,12,MISAMIS ORIENTAL,JASAAN," 83,445 "
Marine Paints,2022,1,SOUTH COTABATO,GENERAL SANTOS CITY," 83,400 "
Marine Paints,2022,7,QUEZON,LUCENA CITY (Capital)," 82,980 "
Marine Paints,2022,4,RIZAL,BINANGONAN," 82,845 "
Marine Paints,2022,11,QUEZON,PAGBILAO," 82,560 "
Marine Paints,2023,3,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 81,825 "
Marine Paints,2023,11,SOUTH COTABATO,GENERAL SANTOS CITY," 81,705 "
Marine Paints,2023,11,ALBAY,ALBAY," 81,480 "
Marine Paints,2022,12,LAGUNA,CITY OF SANTA ROSA," 80,940 "
Marine Paints,2023,3,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 80,010 "
Marine Paints,2023,2,CEBU,CONSOLACION," 79,470 "
Marine Paints,2022,6,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 79,320 "
Marine Paints,2023,4,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 79,200 "
Marine Paints,2023,8,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 78,960 "
Marine Paints,2022,10,SOUTH COTABATO,GENERAL SANTOS CITY," 78,915 "
Marine Paints,2023,3,QUEZON,PAGBILAO," 78,600 "
Marine Paints,2022,8,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 78,480 "
Marine Paints,2022,6,CAVITE,CITY OF GENERAL TRIAS," 78,060 "
Marine Paints,2023,5,ZAMBALES,SUBIC," 77,940 "
Marine Paints,2022,2,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 77,055 "
Marine Paints,2023,7,ZAMBALES,SUBIC," 76,740 "
Marine Paints,2022,12,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 76,350 "
Marine Paints,2022,2,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 75,720 "
Marine Paints,2023,2,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 75,210 "
Marine Paints,2023,7,QUEZON,PAGBILAO," 74,700 "
Marine Paints,2022,3,CAVITE,TANZA," 74,400 "
Marine Paints,2022,11,SOUTH COTABATO,GENERAL SANTOS CITY," 74,160 "
Marine Paints,2023,6,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 73,995 "
Marine Paints,2022,10,QUEZON,LUCENA CITY," 73,830 "
Marine Paints,2022,9,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 73,710 "
Marine Paints,2023,10,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 73,290 "
Marine Paints,2023,11,QUEZON,LUCENA CITY (Capital)," 73,230 "
Marine Paints,2022,8,QUEZON,LUCENA CITY (Capital)," 72,765 "
Marine Paints,2023,10,CEBU,CEBU CITY (Capital)," 70,650 "
Marine Paints,2022,4,BATANGAS,CALACA," 70,500 "
Marine Paints,2023,11,BATANGAS,BAUAN," 70,470 "
Marine Paints,2022,3,ALBAY,ALBAY," 70,395 "
Marine Paints,2023,7,MISAMIS ORIENTAL,JASAAN," 70,170 "
Marine Paints,2023,3,CEBU,CONSOLACION," 70,125 "
Marine Paints,2023,7,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 69,675 "
Marine Paints,2023,3,CEBU,DANAO CITY," 69,000 "
Marine Paints,2022,8,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 68,940 "
Marine Paints,2022,6,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 68,655 "
Marine Paints,2022,7,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 68,595 "
Marine Paints,2023,10,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 68,040 "
Marine Paints,2022,10,ZAMBALES,SUBIC," 67,530 "
Marine Paints,2023,11,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 67,320 "
Marine Paints,2023,8,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 66,960 "
